[Current] DELIVERY - Takes(s): 9.8, Count: 29, TPM: 178.3, Sum(ms): 5459.0, Avg(ms): 189.3, 50th(ms): 184.5, 90th(ms): 285.2, 95th(ms): 335.5, 99th(ms): 352.3, 99.9th(ms): 352.3, Max(ms): 352.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 262, TPM: 1574.2, Sum(ms): 39647.1, Avg(ms): 151.5, 50th(ms): 130.0, 90th(ms): 268.4, 95th(ms): 369.1, 99th(ms): 671.1, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 21, TPM: 130.0, Sum(ms): 119.3, Avg(ms): 5.6, 50th(ms): 6.3, 90th(ms): 7.3, 95th(ms): 7.3, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] PAYMENT - Takes(s): 10.0, Count: 246, TPM: 1483.4, Sum(ms): 53868.7, Avg(ms): 219.0, 50th(ms): 167.8, 90th(ms): 469.8, 95th(ms): 570.4, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 25, TPM: 154.7, Sum(ms): 668.3, Avg(ms): 26.8, 50th(ms): 8.4, 90th(ms): 75.5, 95th(ms): 75.5, 99th(ms): 125.8, 99.9th(ms): 125.8, Max(ms): 125.8
[Current] DELIVERY - Takes(s): 9.3, Count: 31, TPM: 199.3, Sum(ms): 5076.4, Avg(ms): 163.9, 50th(ms): 167.8, 90th(ms): 218.1, 95th(ms): 234.9, 99th(ms): 302.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 297, TPM: 1789.8, Sum(ms): 37431.1, Avg(ms): 126.1, 50th(ms): 100.7, 90th(ms): 226.5, 95th(ms): 335.5, 99th(ms): 570.4, 99.9th(ms): 704.6, Max(ms): 704.6
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 21, TPM: 128.1, Sum(ms): 124.8, Avg(ms): 6.0, 50th(ms): 6.8, 90th(ms): 7.3, 95th(ms): 7.9, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] PAYMENT - Takes(s): 10.0, Count: 279, TPM: 1681.3, Sum(ms): 56340.3, Avg(ms): 202.0, 50th(ms): 159.4, 90th(ms): 436.2, 95th(ms): 570.4, 99th(ms): 738.2, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 30, TPM: 180.1, Sum(ms): 733.8, Avg(ms): 24.4, 50th(ms): 8.4, 90th(ms): 88.1, 95th(ms): 92.3, 99th(ms): 109.1, 99.9th(ms): 109.1, Max(ms): 109.1
